DATE,TIME,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
10/27/16,16:10,40.7155198,-73.8423577,0,0,0,0,0,0,0,0
10/27/16,16:10,40.7553799,-73.9948457,1,0,0,0,0,0,1,0
10/27/16,17:10,40.7001543,-73.9361656,0,0,0,0,0,0,0,0
11/9/16,17:11,40.6830692,-73.995558,0,0,0,0,0,0,0,0
11/9/16,17:11,40.6278822,-73.9325061,0,0,0,0,0,0,0,0
11/9/16,17:11,40.6191943,-73.9228145,0,0,0,0,0,0,0,0
12/15/16,9:47,40.6870693,-73.9791227,0,0,0,0,0,0,0,0
12/15/16,9:50,40.626454,-73.9266571,0,0,0,0,0,0,0,0
10/27/16,17:10,40.6007425,-73.9390407,0,0,0,0,0,0,0,0
10/27/16,8:10,40.6955195,-73.8645579,0,0,0,0,0,0,0,0
12/13/16,16:30,40.6099861,-73.9623778,0,0,0,0,0,0,0,0
12/13/16,16:31,40.8823849,-73.9040728,0,0,0,0,0,0,0,0
10/27/16,8:10,40.8594475,-73.9159713,0,0,0,0,0,0,0,0
10/27/16,9:10,40.6203042,-74.0074276,0,0,0,0,0,0,0,0
10/27/16,9:10,40.6259754,-73.9762346,0,0,0,0,0,0,0,0
12/13/16,17:30,40.659348,-73.7598194,2,0,2,0,0,0,0,0
10/27/16,9:10,40.7213996,-74.0091814,0,0,0,0,0,0,0,0
10/27/16,9:10,40.7457274,-73.9781227,0,0,0,0,0,0,0,0
10/27/16,9:10,40.6779984,-73.796627,0,0,0,0,0,0,0,0
10/27/16,9:10,40.7486901,-73.9851378,1,0,1,0,0,0,0,0
10/27/16,9:10,40.7916628,-73.9646839,1,0,0,0,0,0,1,0
10/26/16,0:10,40.8911128,-73.8630382,0,0,0,0,0,0,0,0
10/26/16,0:10,40.7024115,-73.9932521,0,0,0,0,0,0,0,0
10/26/16,0:10,40.6945889,-73.9922828,0,0,0,0,0,0,0,0
11/9/16,6:11,40.8120773,-73.8868051,1,0,1,0,0,0,0,0
10/26/16,10:10,40.8137456,-73.9313928,0,0,0,0,0,0,0,0
10/26/16,10:10,40.880719,-73.8265752,0,0,0,0,0,0,0,0
10/26/16,10:10,40.6871037,-73.9429642,0,0,0,0,0,0,0,0
10/26/16,10:10,40.6550478,-73.9563012,0,0,0,0,0,0,0,0
10/26/16,11:10,40.6544192,-74.006134,0,0,0,0,0,0,0,0
10/26/16,14:10,40.8207495,-73.8676559,0,0,0,0,0,0,0,0
10/26/16,14:10,40.6960346,-73.9845292,0,0,0,0,0,0,0,0
10/26/16,14:10,40.653267,-73.9392594,0,0,0,0,0,0,0,0
10/26/16,16:10,40.6311051,-73.9961955,0,0,0,0,0,0,0,0
10/26/16,16:10,40.6471146,-73.9616722,0,0,0,0,0,0,0,0
11/8/16,10:11,40.7238805,-73.9322105,0,0,0,0,0,0,0,0
10/26/16,16:10,40.839178,-73.9411352,0,0,0,0,0,0,0,0
11/8/16,10:11,40.8519992,-73.9372525,0,0,0,0,0,0,0,0
10/26/16,16:10,40.6635016,-73.8021963,0,0,0,0,0,0,0,0
10/26/16,17:10,40.7488912,-74.0070233,0,0,0,0,0,0,0,0
10/26/16,17:10,40.769483,-73.9578652,0,0,0,0,0,0,0,0
10/26/16,17:10,40.7214619,-73.8045285,0,0,0,0,0,0,0,0
10/26/16,17:10,40.6788841,-73.7915588,0,0,0,0,0,0,0,0
12/13/16,21:00,40.6331359,-73.9904957,0,0,0,0,0,0,0,0
12/13/16,22:01,40.7682574,-73.9707903,0,0,0,0,0,0,0,0
11/8/16,11:11,40.772091,-73.9799084,0,0,0,0,0,0,0,0
11/8/16,12:11,40.6986482,-73.9199384,1,0,0,0,0,0,1,0
11/8/16,12:11,40.7490418,-73.9883173,1,0,1,0,0,0,0,0
11/8/16,12:11,40.6958547,-73.8189131,1,0,0,0,1,0,0,0
11/8/16,12:11,40.7043282,-73.7977044,1,0,1,0,0,0,0,0
11/8/16,12:11,40.7117666,-73.7900997,1,0,1,0,0,0,0,0
10/29/16,14:10,40.7499132,-73.858337,0,0,0,0,0,0,0,0
11/8/16,13:11,40.5719861,-74.1082202,0,0,0,0,0,0,0,0
11/8/16,14:11,40.7534092,-73.8523438,0,0,0,0,0,0,0,0
10/26/16,17:10,40.785787,-73.9785356,1,0,0,0,1,0,0,0
10/26/16,18:10,40.6559111,-73.8918959,0,0,0,0,0,0,0,0
10/26/16,18:10,40.8030248,-73.936309,0,0,0,0,0,0,0,0
10/26/16,18:10,40.6866859,-73.7876618,0,0,0,0,0,0,0,0
10/26/16,18:10,40.8455673,-73.9284829,0,0,0,0,0,0,0,0
10/26/16,19:10,40.5951044,-74.0009038,0,0,0,0,0,0,0,0
10/26/16,19:10,40.6691292,-73.9774305,0,0,0,0,0,0,0,0
10/26/16,19:10,40.7095234,-74.0016664,1,0,1,0,0,0,0,0
10/26/16,1:10,40.7084036,-73.8513665,0,0,0,0,0,0,0,0
11/8/16,16:11,40.7845658,-73.951883,0,0,0,0,0,0,0,0
11/8/16,16:11,40.7557629,-73.8833527,0,0,0,0,0,0,0,0
11/8/16,16:11,40.6752142,-73.7377926,0,0,0,0,0,0,0,0
10/26/16,22:10,40.7548762,-73.9685222,0,0,0,0,0,0,0,0
10/26/16,22:10,40.7231248,-73.826574,0,0,0,0,0,0,0,0
10/26/16,22:10,40.678121,-73.8582696,0,0,0,0,0,0,0,0
10/26/16,22:10,40.8106528,-73.9671502,0,0,0,0,0,0,0,0
10/26/16,7:10,40.6845753,-73.8838955,0,0,0,0,0,0,0,0
11/8/16,16:11,40.6941296,-73.9700402,1,0,0,0,0,0,1,0
11/8/16,16:11,40.6920474,-73.9641814,1,0,0,0,1,0,0,0
11/8/16,16:11,40.7563818,-73.9643237,1,0,1,0,0,0,0,0
11/8/16,16:11,40.7927515,-73.971314,1,0,1,0,0,0,0,0
11/8/16,16:11,40.7857662,-73.8163647,1,0,1,0,0,0,0,0
10/26/16,7:10,40.5882078,-73.9522009,0,0,0,0,0,0,0,0
10/26/16,8:10,40.7108634,-73.9580032,0,0,0,0,0,0,0,0
10/26/16,8:10,40.7391931,-73.9839743,0,0,0,0,0,0,0,0
10/26/16,8:10,40.726622,-73.7573124,0,0,0,0,0,0,0,0
10/26/16,9:10,40.884735,-73.8156998,0,0,0,0,0,0,0,0
10/25/16,11:10,40.7517478,-73.9708047,0,0,0,0,0,0,0,0
10/25/16,11:10,40.7467748,-73.7924146,0,0,0,0,0,0,0,0
